code;name;pk;olapicWorkstreamProductID
AB;Marriott's Aruba Ocean Club;8796163276801;marriott-aruba-ocean-club
AC;Marriott's Aruba Surf Club;8796163309569;marriott-aruba-surf-club
AU;Marriott Vacation ClubÂ® at Surfers Paradise;8796322496513;og-marriott_vacation_club_at_surfers_paradise
BB;Marriott's Barony Beach Club;8796163571713;marriott-barony-beach-club
BI;Marriott's StreamSide;8796162719745;marriott-streamside
BK;"Marriott Vacation Club<sup>&reg;</sup> at The Empire Place<sup>&copy;</sup>";8796551970817;marriott-empire-place-resort
BP;Marriott's BeachPlace Towers;8796163375105;marriott-beachplace-towers
CH;"Marriott Vacation Club Pulse&#x2120; at Custom House, Boston";8796163473409;marriott-custom-house
CV;Marriott's Canyon Villas;8796163407873;marriott-canyon-villas
CY;Marriott's Cypress Harbour;8796163637249;marriott-cypress-harbour
DA;Marriott's Villas at Doral;8796163178497;marriott-villas-at-doral
DE;Marriott's Desert Springs Villas;8796163670017;marriott-desert-springs-villas
BI;Marriott's StreamSide;8796163211265;marriott-streamside
DP;Marriott's Village d'Ile-de-France;8796164030465;marriott-village-dile-de-france
DS;Marriott's Desert Springs Villas II;8796163506177;marriott-desert-springs-villas-ii
EV;Marriott's StreamSide;8796164587521;marriott-streamside
FW;Marriott's Fairway Villas;8796163702785;marriott-fairway-villas
GR;Marriott's Grande Ocean;8796163735553;marriott-grande-ocean
GV;Marriott's Grande Vista;8796164554753;marriott-grande-vista
HA;Marriott's Harbour Club;8796164128769;marriott-harbour-club
HB;Marriott's Willow Ridge Lodge;8796162785281;marriott-willow-ridge-lodge
HE;Marriott's Heritage Club;8796164227073;marriott-heritage-club
HO;Marriott's Harbour Lake;8796163768321;marriott-harbour-lake
HP;Marriott's Harbour Point;8796163801089;marriott-harbour-point
IM;Marriott's Imperial Palms;8796164161537;marriott-imperial-palms
KA;Marriott's Kauai Beach Club;8796164194305;marriott-kauai-beach-club
KN;Marriott's Kauai Lagoons - Kalanipu'u;8796162850817;marriott-kauai-lagoons
KO;Marriott's Ko Olina Beach Club;8796163866625;marriott-ko-olina-beach-club
KT;Marriott's St. Kitts Beach Club;8796162686977;marriott-stkitts-beach-club
LE;Marriott's Legends Edge at Bay Point;8796162621441;marriott-legends-edge
LR;Marriott's Lakeshore Reserve;8796163964929;marriott-lakeshore-reserve
MA;Marriott's Manor Club;8796164259841;marriott-manor-club
MB;Marriott's Marbella Beach Resort;8796162916353;marriott-marbella-beach-club
MC;Marriott's Club Son Antem;8796163440641;marriott-club-son-antem
MH;Marriott's Maui Ocean Club;8796163538945;marriott-maui-ocean-club
ML;Marriott's Crystal Shores;8796163604481;marriott-crystal-shores
MO;Marriott's Monarch;8796163047425;marriott-monarch
MQ;Marriott's Manor Club;8796162883585;marriott-manor-club
MS;Marriott's MountainSide;8796162949121;marriott-mountainside
MU;Marriott's Maui Ocean Club;8796163244033;marriott-maui-ocean-club
MV;Marriott's Mountain Valley Lodge;8796162654209;marriott-mountain-valley-lodge
MY;"Marriott Vacation Club Pulse&#x2120; at The Mayflower, Washington, D.C.";8796163932161;
NC;Marriott's Newport Coast Villas;8796164292609;marriott-newport-coast
NY;"Marriott Vacation Club Pulse&#x2120;, New York City";8796164915201;og-marriott_vacation_club_pulse_new_york_city
OW;Marriott's OceanWatch at Grande Dunes;8796163833857;marriott-oceanwatch-villas
PA;"Marriott's Mai Khao Beach &mdash; Phuket";8796551938049;marriott-mai-khao-beach
PB;Marriott's Phuket Beach Club;8796163112961;marriott-phuket-beach-club
PS;Marriott's Ocean Pointe;8796164325377;marriott-ocean-pointe
PY;Marriott's Playa Andaluza;8796162818049;marriott-playa-andaluza
QT;Marriott Grand Residence Club<sup>&reg</sup>, Lake Tahoe;8796163342337;grand-residence-club-tahoe
RA;The Ritz-Carlton Club, Aspen Highlands;8796164456449;
RF;The Ritz-Carlton Club and Residences, San Francisco;8796164423681;
RO;Marriott's Royal Palms;8796164358145;marriott-royal-palms
RS;The Ritz-Carlton Club, St. Thomas;8796163997697;
RW;The Ritz-Carlton Club, Lake Tahoe;8796163145729;
SA;Marriott's Sabal Palms;8796164390913;marriott-sabal-palms
SD;"Marriott Vacation Club Pulse&#x2120;, San Diego";8796256960513;
SF;Marriott's SurfWatch;8796164653057;marriott-surf-watch
SM;Marriott's Summit Watch;8796164620289;marriott-summit-watch
SN;Marriott's Oceana Palms;8796163080193;marriott-oceana-palms
SO;"Marriott Vacation Club Pulse&#x2120;, South Beach";8796191621121;
SR;Marriott's Shadow Ridge;8796164063233;marriott-shadow-ridge
ST;Marriott's Shadow Ridge;8796163899393;marriott-shadow-ridge
SU;Marriott's Sunset Pointe;8796162752513;marriott-sunset-pointe
TD;Marriottâ€™s Bali Nusa Dua Gardens;8796781248513;
TL;Marriott's Timber Lodge;8796163014657;marriott-timber-lodge
UV;Marriott's Frenchman's Cove;8796164521985;marriott-frenchmans-cove
VG;Marriott's Grand Chateau;8796164096001;marriott-grand-chateau
VR;The Ritz-Carlton Club, Vail;8796162981889;ritz-carlton-club-vail
WI;Marriott's Waiohai Beach Club;8796164489217;marriott-waiohai-beach-club
WK;Marriott's Waikoloa Ocean Club*;8796355264513;
