# code;pk;name
BEACH;8796142403675;BEACH
BIKING;8796176875611;
CASINO;8796176842843;
DINING;8796177203291;
FAMILY_ACTIVITIES;8796177137755;
FITNESS_CENTER;8796177268827;
GOLF;8796142436443;GOLF
HEALTH_CLUB;8796176941147;
KIDS_ACTIVITIES;8796214198363;Kids Activities
MAZE_KIDS_CLUB;8796177367131;
POOL;8796177236059;
RECREATION;8796177006683;
RESTAURANTS_AND_LOUNGES;8796176973915;
SERVICES;8796177170523;
SHOPPING;8796177399899;
SKI;8796142469211;SKI
SPA;8796176908379;
SPORTS_AND_FITNESS;8796177104987;
TENNIS_COURTS;8796177072219;
THE_MARKETPLACE;8796177334363;
THEME_PARK;8796142501979;THEME_PARK
URBAN;8796142534747;URBAN
WHIRLPOOLS;8796177039451;
WIRELESS_INTERNET_ACCESS;8796177301595;
